"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"RG01_CP"	"RG01"	"RG02_CP"	"RG02x01"	"RG02x02"	"TR03_01"	"TR03_01a"	"TR03_02"	"TR03_02a"	"TR03_03"	"TR03_03a"	"TR03_04"	"TR03_04a"	"TR03_05"	"TR03_05a"	"TR03_06"	"TR03_06a"	"TR03_07"	"TR03_07a"	"TR03_08"	"TR03_08a"	"TR03_09"	"TR03_09a"	"TR03_10"	"TR03_10a"	"TR03_11"	"TR03_11a"	"TR03_12"	"TR03_12a"	"TR03_13"	"TR03_13a"	"TR03_14"	"TR03_14a"	"TR03_15"	"TR03_15a"	"TR03_16"	"TR03_16a"	"TR03_17"	"TR03_17a"	"TR03_18"	"TR03_18a"	"TR03_19"	"TR03_19a"	"TR03_20"	"TR03_20a"	"TR03_21"	"TR03_21a"	"TR03_22"	"TR03_22a"	"TR03_23"	"TR03_23a"	"TR03_24"	"TR03_24a"	"TR03_25"	"TR03_25a"	"TR03_26"	"TR03_26a"	"TR03_27"	"TR03_27a"	"TR03_28"	"TR03_28a"	"TR03_29"	"TR03_29a"	"TR03_30"	"TR03_30a"	"TR03_31"	"TR03_31a"	"TR03_32"	"TR03_32a"	"TR03_33"	"TR03_33a"	"TR03_34"	"TR03_34a"	"TR03_35"	"TR03_35a"	"TR03_36"	"TR03_36a"	"TR03_37"	"TR03_37a"	"TR03_38"	"TR03_38a"	"TR03_39"	"TR03_39a"	"TR03_40"	"TR03_40a"	"TR04_01"	"TR04_01a"	"TR04_02"	"TR04_02a"	"TR04_03"	"TR04_03a"	"TR04_04"	"TR04_04a"	"TR04_05"	"TR04_05a"	"TR04_06"	"TR04_06a"	"TR04_07"	"TR04_07a"	"TR04_08"	"TR04_08a"	"TR04_09"	"TR04_09a"	"TR04_10"	"TR04_10a"	"TR04_11"	"TR04_11a"	"TR04_12"	"TR04_12a"	"TR04_13"	"TR04_13a"	"TR04_14"	"TR04_14a"	"TR04_15"	"TR04_15a"	"TR04_16"	"TR04_16a"	"TR04_17"	"TR04_17a"	"TR04_18"	"TR04_18a"	"TR04_19"	"TR04_19a"	"TR04_20"	"TR04_20a"	"TR04_21"	"TR04_21a"	"TR04_22"	"TR04_22a"	"TR04_23"	"TR04_23a"	"TR04_24"	"TR04_24a"	"TR04_25"	"TR04_25a"	"TR04_26"	"TR04_26a"	"TR04_27"	"TR04_27a"	"TR04_28"	"TR04_28a"	"TR04_29"	"TR04_29a"	"TR04_30"	"TR04_30a"	"TR04_31"	"TR04_31a"	"TR04_32"	"TR04_32a"	"TR04_33"	"TR04_33a"	"TR04_34"	"TR04_34a"	"TR04_35"	"TR04_35a"	"TR04_36"	"TR04_36a"	"TR04_37"	"TR04_37a"	"TR04_38"	"TR04_38a"	"TR04_39"	"TR04_39a"	"TR04_40"	"TR04_40a"	"DM06"	"DM02"	"DM03"	"DM05"	"DM07"	"DM07_01"	"DM09_01"	"DM09_02"	"DM09_03"	"DM10"	"DM11_01"	"IV01_RV1"	"IV01_RV2"	"IV01_RV3"	"IV02_01"	"IV02_02"	"IV02_03"	"IV02_04"	"IV04_01"	"IV04_02"	"IV04_03"	"IV04_04"	"IV04_05"	"IV04_06"	"IV04_07"	"IV04_08"	"IV04_09"	"IV04_10"	"IV04_11"	"IV04_12"	"IV04_13"	"IV04_14"	"IV04_15"	"IV04_16"	"IV04_17"	"IV04_18"	"IV04_19"	"IV04_20"	"IV04_21"	"IV04_22"	"IV04_23"	"IV04_24"	"IV04_25"	"IV04_26"	"IV04_27"	"IV04_28"	"IV04_29"	"IV04_30"	"IV04_31"	"IV04_32"	"IV04_33"	"IV04_34"	"IV04_35"	"IV04_36"	"IV04_37"	"IV04_38"	"IV04_39"	"IV04_40"	"IV06_01"	"IV06_02"	"IV06_03"	"IV06_04"	"IV06_05"	"IV06_06"	"IV06_07"	"IV06_08"	"IV06_09"	"IV06_10"	"IV06_11"	"IV06_12"	"IV06_13"	"IV06_14"	"IV06_15"	"IV06_16"	"IV06_17"	"IV06_18"	"IV06_19"	"IV06_20"	"IV06_21"	"IV06_22"	"IV06_23"	"IV06_24"	"IV06_25"	"IV06_26"	"IV06_27"	"IV06_28"	"IV06_29"	"IV06_30"	"IV06_31"	"IV06_32"	"IV06_33"	"IV06_34"	"IV06_35"	"IV06_36"	"IV06_37"	"IV06_38"	"IV06_39"	"IV06_40"	"IV07_01"	"IV07_02"	"IV07_03"	"IV07_04"	"IV07_05"	"IV08_01"	"IV09_01"	"DV01_01"	"DV01_02"	"DV01_03"	"DV01_04"	"DV02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
368			"base"	"interview"	2022-05-05 10:39:18	118	2	164	1	1																																																																																	1	3752	1	1974	2	1695	2	1069	2	1016	1	853	2	2117	1	1249	2	1048	1	1003	2	614	1	984	1	500	2	1418	1	1059	2	906	2	998	2	1022	2	818	2	664	2	850	2	801	2	2109	2	772	1	799	2	531	2	870	1	587	1	735	1	1106	1	745	1	684	2	755	2	630	1	493	2	626	2	443	1	717	1	662	1	853	2	2	2	-9	1	T	6	3	2	1		"60bbce79ba111569d6d37efb"	"62568ea59b5810abee6bd150"	"62738d26c02be8649c8cc9db"	"0001001111101101111001111110110111101111"	"1010100000101100000100110000000100010010"	"0000000000010111000001101101000100000011"	"1110001100101111110111010111001111111011"	"3"	"3"	"1"	"1"	"3"	"2"	"4"	"3"	"4"	"2"	"2"	"1"	"1"	"2"	"1"	"2"	"3"	"4"	"3"	"3"	"4"	"1"	"4"	"4"	"4"	"1"	"2"	"1"	"4"	"3"	"4"	"2"	"2"	"2"	"4"	"1"	"3"	"3"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"340"	"135"	"90"	"105"	"90"	"3311324342211212343341444121434222413321"	"1.18"	53	82	15	88	3	20	5	3	2	5	6			73	59	17	18	9	31	55	4	307		2022-05-05 10:44:25	T	F	16	16	4	2	1.93	102
369			"base"	"interview"	2022-05-05 10:39:19	123	2	219	1	1																																																																																	2	13757	1	4195	1	4294	1	5088	1	4439	2	4115	1	3520	1	2171	2	2246	2	2868	2	2545	2	2338	1	3155	1	2223	1	3274	2	4847	2	2678	2	2431	1	3057	1	2132	2	2253	1	2201	2	1819	1	2008	1	2608	2	2272	2	1986	1	2284	1	1840	2	2714	2	1880	1	2092	1	2632	1	2634	2	2352	1	2468	2	1745	1	3004	2	1831	1	1888	2	39	2	-9	1	T	6	9	9	1	"Very interesting. Thank you for the opportunity toparticipate in this survey!

PS: I am from South Africa but the drop down does not have my country on the list to choose from - thnaks!{EM_SMILING_FACE}"	"606606a98e4b15c973f35da4"	"62568ea59b5810abee6bd150"	"62738d213e16c8eafd3082bf"	"0101111100111111010110011111001110101111"	"0100000011000000100001000011110101000010"	"1001100001010100001000100000000001110001"	"1111010010010011110111001111111101011111"	"4"	"1"	"4"	"3"	"2"	"4"	"2"	"1"	"4"	"2"	"2"	"4"	"1"	"3"	"3"	"2"	"1"	"4"	"1"	"3"	"2"	"3"	"2"	"3"	"1"	"4"	"4"	"4"	"3"	"2"	"1"	"1"	"3"	"3"	"2"	"3"	"4"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"345"	"210"	"45"	"210"	"30"	"4143242142241332141323231444321133234121"	"1.18375"	64	97	65	92	3	53	86	63	16	29	21			153	121	19	44	21	26	174	5	831		2022-05-05 10:53:10	T	F	16	16	2	1	0.75	1
370			"base"	"interview"	2022-05-05 10:39:21	122	2	187	2	2																																																																																	1	7025	1	5687	2	13986	2	4433	1	6487	1	2614	1	3311	1	5515	1	3155	2	3828	1	5016	1	2504	1	4274	1	3990	1	3709	1	2283	1	2126	1	1932	1	2896	1	2589	2	4083	1	3492	2	2075	2	3058	2	3192	1	6642	1	2800	1	2397	2	4508	1	1535	1	1828	1	1997	1	1514	1	1750	1	2885	1	1820	1	2566	1	2435	1	2849	1	2618	2	25	2	-9	1	T	6	9	9	1	"Study went well no questions and was easy to understand.  But my country i currently live in is not available on the drop down list. I live in South Africa."	"611e16e1ee6de64e39cf4032"	"62568ea59b5810abee6bd150"	"62738d2e3e16c8eafd3082c1"	"1001011011000000011000000100000100001001"	"0110101110100111111001111000111111111101"	"1111110100101111110111001001111110111010"	"1001000101011000000010000100000100010011"	"3"	"4"	"4"	"4"	"4"	"3"	"2"	"2"	"4"	"2"	"3"	"4"	"2"	"3"	"1"	"2"	"3"	"3"	"1"	"1"	"1"	"1"	"4"	"3"	"2"	"4"	"1"	"4"	"2"	"1"	"2"	"3"	"4"	"1"	"1"	"3"	"1"	"2"	"2"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"365"	"165"	"135"	"195"	"180"	"3444432242342312331111432414212341131223"	"1.19875"	91	66	94	38	3	42	14	72	10	22	16			182	193	19	32	21	25	203	4	855		2022-05-05 10:53:38	T	F	16	16	2	1	0.92	6
371			"base"	"interview"	2022-05-05 10:39:25	121	1	202	2	2	1	4066	2	4977	3	7131	4	1025	2	3796	1	1806	3	7660	4	2932	2	1555	1	3869	3	3934	4	1650	2	1241	1	4469	2	8084	3	1595	4	1001	1	1434	1	1443	1	829	2	1861	2	1085	3	1727	3	1121	4	732	4	824	4	786	1	1348	1	3263	3	2498	4	1642	2	1414	1	4530	3	3816	4	1536	2	1704	1	8736	2	2313	1	1719	1	3844																																																																																	2	18	2	33	1	T	6	9	9	1	"It was an interesting survey to complete, at first I taught there was defintely a pattern in who gives and who walks away,but I quickly realised that either I was wrong and it was random or there was a series of different patterns of behaviour.Nonetheless, a rather fun survey for me, in comarison to others. Thank you so much for the opportunity to participate."	"6160c7eda123a8e3bb47efb9"	"62568ea59b5810abee6bd150"	"62738d2d65064c61405a7262"	"0000111011000010011000000100010010000001"	"0000110110111111111001101110111110101111"	"0111011111110101101110101111100111111000"	"0010010100100011001100001100010100000000"	"1"	"2"	"3"	"4"	"2"	"1"	"3"	"4"	"2"	"1"	"3"	"4"	"2"	"1"	"2"	"3"	"4"	"1"	"1"	"1"	"2"	"2"	"3"	"3"	"4"	"4"	"4"	"1"	"1"	"3"	"4"	"2"	"1"	"3"	"4"	"2"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"285"	"255"	"225"	"210"	"225"		"1.13875"	101	41	1	51	1	34	54	63	26	30	23	160	143			28	63	16	46	291	10	756		2022-05-05 10:55:52	T	F	16	16	0	0	0.62	0
372			"base"	"interview"	2022-05-05 10:39:26	134	2	238	2	2																																																																																	1	7307	1	6267	1	6929	1	8910	1	6502	2	4114	1	6925	1	8374	1	6407	2	8160	2	7267	1	5367	1	2535	1	5836	2	3816	2	5034	1	6884	1	4340	1	5370	1	2409	1	4220	1	4188	1	4298	1	7782	2	5113	1	3288	1	3639	1	4059	1	2796	2	2959	2	3580	1	2361	2	4700	1	5309	2	1789	1	2112	2	2528	1	5062	1	2478	2	2127	2	30	2	-9	1	T	6	9	9	1	"I am from South Africa, I was unable to select it in question 3."	"60e81dd6d278c77cd2f3b533"	"62568ea59b5810abee6bd150"	"62738d3a1981d8cfb03508a0"	"0000011110110000010010000000111000001000"	"1010011111110111110111001100111000111111"	"1011100111111101011111011011010111010101"	"0001110100000000101001010001001001010000"	"1"	"3"	"4"	"2"	"2"	"4"	"4"	"1"	"1"	"2"	"3"	"2"	"1"	"1"	"4"	"3"	"3"	"4"	"2"	"1"	"2"	"4"	"4"	"3"	"2"	"3"	"3"	"1"	"1"	"2"	"3"	"1"	"2"	"3"	"3"	"1"	"4"	"4"	"2"	"4"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"315"	"195"	"105"	"180"	"165"	"1342244112321143342124432331123123314424"	"1.16125"	19	74	51	91	2	90	79	75	22	33	21			226	151	37	55	21	28	112	7	957		2022-05-05 10:55:24	T	F	16	16	2	1	0.61	1
374			"base"	"interview"	2022-05-05 10:39:27	120	2	171	2	1																																																																																	2	12497	1	2318	2	6314	1	2448	1	3130	2	3116	1	2437	1	1989	2	2925	1	2144	2	1792	2	2602	2	2705	2	2422	1	2851	2	1940	1	2855	2	8784	1	2293	1	5460	2	3811	1	2775	2	2529	1	1900	1	2366	1	2079	2	2779	2	3860	1	2037	2	3082	1	1695	2	1838	1	1992	2	3447	1	3300	1	1964	1	3587	1	1959	1	2033	2	5946	2	9	2	68	1	T	7	8	8	1		"60df4644ec36828f7b93fe9a"	"62568ea59b5810abee6bd150"	"62738ce9dde2dfb27d05d277"	"1011111101110101101001111011101111111000"	"0001010010000100010001000100001101001100"	"0011101110111111010001001011111111111011"	"1000000000000010100100100000010111011001"	"4"	"1"	"1"	"2"	"4"	"4"	"2"	"2"	"1"	"2"	"1"	"4"	"2"	"4"	"2"	"1"	"3"	"4"	"3"	"3"	"4"	"2"	"4"	"3"	"3"	"2"	"1"	"1"	"1"	"4"	"3"	"1"	"3"	"4"	"2"	"3"	"3"	"2"	"3"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"390"	"60"	"180"	"180"	"30"	"4112442212142421343342433211143134233231"	"1.2175"	36	79	83	35	3	24	8	25	4	20	11			159	134	45	137	14	21	27	2	502		2022-05-05 10:49:58	T	F	16	16	2	1	1.48	33
375			"base"	"interview"	2022-05-05 10:39:33	125	1	211	2	2	1	1820	1	1806	1	1421	1	1165	1	892	2	1983	2	881	2	1180	3	1041	4	1313	1	2939	2	681	3	950	4	729	1	1976	1	1166	1	838	2	877	2	650	3	581	4	699	1	660	2	508	2	560	2	814	2	1028	3	1772	4	594	4	616	1	808	1	711	1	860	1	582	2	739	2	477	2	614	2	707	3	900	4	605	4	621																																																																																	2	15	1	84	1	T	6	9	9	1	"no"	"60f13031a4a3cc31dc71cf93"	"62568ea59b5810abee6bd150"	"62738d44885eb83b1efe7647"	"0100101000000010001001000001110100001010"	"1111010101010111001100011011111101111111"	"0100111011100111110001111011111101110111"	"1010010100010001100100000001001000000110"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"3"	"4"	"1"	"2"	"3"	"4"	"1"	"1"	"1"	"2"	"2"	"3"	"4"	"1"	"2"	"2"	"2"	"2"	"3"	"4"	"4"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"3"	"4"	"4"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"300"	"285"	"285"	"150"	"180"		"1.15"	66	62	11	31	1	45	41	93	24	22	18	68	78			13	27	6	27	16	3	481		2022-05-05 10:47:35	T	F	16	16	0	0	1.19	20
376			"base"	"interview"	2022-05-05 10:39:35	119	1	179	1	1	3	4940	1	6344	3	4677	1	4749	3	1910	3	5776	4	5108	3	2782	4	3354	2	3016	4	2712	3	3776	4	2743	4	3166	1	2513	4	1681	4	2775	4	3560	4	4269	4	3661	3	1697	3	3441	4	2855	3	2359	3	3173	3	3785	1	3328	3	1754	3	2927	3	8261	4	3213	3	2434	3	2498	4	2123	3	2478	4	1669	4	2384	1	1203	3	1267	2	1383																																																																																	2	19	2	84	1	T	6	9	9	1		"5e6d1d84e02fac2e80630986"	"62568ea59b5810abee6bd150"	"62738d455c82ce8138894264"	"1111111011001111110011111100110110001101"	"0110110001100000000001000101000000111000"	"0001001000100000000101000010010110011010"	"0011001110101111111111001111011011010111"	"3"	"1"	"3"	"1"	"3"	"3"	"4"	"3"	"4"	"2"	"4"	"3"	"4"	"4"	"1"	"4"	"4"	"4"	"4"	"4"	"3"	"3"	"4"	"3"	"3"	"3"	"1"	"3"	"3"	"3"	"4"	"3"	"3"	"4"	"3"	"4"	"4"	"1"	"3"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"405"	"135"	"60"	"345"	"255"		"1.22875"	74	8	96	46	3	9	17	44	10	16	11	146	142			11	20	8	20	14	2	470		2022-05-05 10:47:26	T	F	16	16	2	1	1.57	40
377			"base"	"interview"	2022-05-05 10:39:39	121	2	177	2	1																																																																																	2	13786	2	3985	2	2412	2	4145	1	3773	2	1333	2	1872	1	1220	1	2260	2	2015	1	3041	2	2011	1	3205	1	2724	2	1801	2	1701	2	2393	1	2167	1	1732	1	2037	2	1577	2	2584	1	1467	1	1770	2	2255	2	1597	2	1073	1	1172	2	1465	2	1292	1	1427	2	1304	2	1013	2	996	1	1335	1	1485	2	785	2	945	2	1816	1	2094	2	27	1	86	1	T	6	6	8	1	"Thanks for letting me participate!"	"5c31f23d10677f0001dde511"	"62568ea59b5810abee6bd150"	"62738d48d4fbde2c922d46d9"	"1110111011000111111111011011100011011101"	"0000101000101100010100011000000000000111"	"1101111111001111011011011001011011010111"	"0000010001110010011100000010110000100000"	"4"	"2"	"4"	"2"	"3"	"4"	"2"	"1"	"3"	"2"	"3"	"4"	"2"	"2"	"3"	"2"	"1"	"4"	"4"	"4"	"1"	"2"	"4"	"1"	"1"	"4"	"1"	"4"	"2"	"3"	"1"	"3"	"1"	"2"	"3"	"1"	"3"	"1"	"3"	"3"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"375"	"105"	"30"	"105"	"105"	"4242342132342232144412411414231312313133"	"1.20625"	8	10	76	70	4	20	6	30	10	12	12			123	72	12	20	10	14	53	3	397		2022-05-05 10:46:19	T	F	16	16	0	0	1.61	35
378			"base"	"interview"	2022-05-05 10:39:40	131	1	251	2	1	2	8272	3	3585	1	2126	4	1762	2	1620	3	999	4	752	1	1401	1	1533	2	4463	4	905	3	764	2	676	3	901	4	1052	1	928	2	1033	3	745	2	779	3	1000	4	1003	1	805	2	792	3	684	4	3780	1	1484	2	760	3	3701	4	831	1	1394	2	801	3	954	4	933	1	946	2	4934	3	2648	4	1146	1	944	2	812	3	1103																																																																																	2	21	2	99	1	T	6	9	9	1	"My country of residence is not on the pop up list"	"611d7034d5e6260329eb7c77"	"62568ea59b5810abee6bd150"	"62738cb1b42f803f4a11db8a"	"0111101101011110111101110101011111011001"	"0010000000111000001000010000111000111000"	"0000111111011111111111111010100110010111"	"1000000001010101101000000010000110000110"	"2"	"3"	"1"	"4"	"2"	"3"	"4"	"1"	"1"	"2"	"4"	"3"	"2"	"3"	"4"	"1"	"2"	"3"	"2"	"3"	"4"	"1"	"2"	"3"	"4"	"1"	"2"	"3"	"4"	"1"	"2"	"3"	"4"	"1"	"2"	"3"	"4"	"1"	"2"	"3"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"315"	"240"	"210"	"180"	"255"		"1.16125"	21	88	91	26	2	71	155	97	25	37	20	98	152			35	59	21	61	145	6	852		2022-05-05 10:56:02	T	F	16	16	0	0	0.56	0
379			"base"	"interview"	2022-05-05 10:39:42	164	1	268	2	2	3	1421	1	2537	1	2502	2	910	4	1606	3	1190	3	810	3	926	3	842	3	787	3	1535	3	1068	3	534	2	730	2	628	2	721	2	573	2	658	2	756	2	817	2	623	2	570	2	678	2	503	2	704	2	586	4	544	4	540	4	496	4	593	1	610	1	569	1	919	1	746	1	767	1	791	2	630	2	842	2	633	2	843																																																																																	2	7	2	46	1	T	6	9	9	1		"5f33a2851386a71b3a82a761"	"62568ea59b5810abee6bd150"	"62738d2c08c7a629b01d131f"	"0110101110000000100100000100101000000010"	"0001111110111110111100011111011111100110"	"0100111011011011111111111011000111011110"	"1011001010000100010000100000100011100000"	"3"	"1"	"1"	"2"	"4"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"4"	"4"	"4"	"4"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"345"	"165"	"330"	"225"	"135"		"1.18375"	25	93	48	60	2	790	20	35	9	9	8	58	54			13	37	8	23	15	2	325		2022-05-05 10:57:45	T	F	16	16	2	1	1.54	36
380			"base"	"interview"	2022-05-05 10:39:43	127	2	205	1	1																																																																																	2	5097	1	3114	1	3903	1	4103	2	3604	1	5362	1	6509	2	9274	2	5614	1	3055	1	2802	1	4546	1	3397	1	3219	2	2264	2	3226	1	6841	1	2066	2	3310	2	2556	2	5317	2	4288	2	2929	1	3092	2	1886	2	1821	2	6304	1	2547	1	2545	2	2326	1	2891	1	3680	1	3279	2	2422	2	2694	1	3525	1	2330	1	2222	1	2698	1	2078	2	8	2	17	1	T	6	9	9	1	"No."	"60aba461d316a15ffce147ce"	"62568ea59b5810abee6bd150"	"62738d482b43eee9e2b14890"	"1101111101001011011010101101111100111111"	"0010010001000011011100100010010000010000"	"0110101100010010100110000010000000000010"	"1111111101100101010000011111111101011111"	"2"	"1"	"4"	"3"	"2"	"3"	"4"	"4"	"2"	"4"	"3"	"3"	"1"	"2"	"3"	"2"	"1"	"2"	"3"	"1"	"1"	"1"	"3"	"2"	"2"	"1"	"2"	"4"	"3"	"1"	"1"	"1"	"3"	"3"	"2"	"4"	"4"	"4"	"4"	"4"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"350"	"150"	"90"	"135"	"135"	"2143234424331232123111322124311133244444"	"1.1875"	13	16	46	101	4	43	7	104	12	24	23			187	136	19	32	9	43	96	6	741		2022-05-05 10:52:04	T	F	16	16	0	0	0.98	11
381			"base"	"interview"	2022-05-05 10:39:43	120	1	177	1	1	1	4985	2	7461	1	6306	4	2846	2	3492	3	4019	1	3356	4	2255	4	3009	3	1438	2	1387	3	1370	1	1791	2	917	3	2320	2	717	4	678	3	803	4	1002	1	957	1	878	2	786	1	1214	3	1813	2	1021	4	850	1	731	3	658	4	543	3	1727	2	911	2	1448	1	799	3	1205	4	685	2	663	3	623	1	777	2	1451	4	2689																																																																																	2	4	2	4	1	T	5	7	4	1		"6133ee1ffec95fabc2675340"	"62568ea59b5810abee6bd150"	"62738d4ab42f803f4a11db8d"	"1011111010110110111000111101111101110011"	"0011111000000010000000110000100110001000"	"0100000000000101000101101001010100001010"	"0110100110101111011111111100111110101110"	"1"	"2"	"1"	"4"	"2"	"3"	"1"	"4"	"4"	"3"	"2"	"3"	"1"	"2"	"3"	"2"	"4"	"3"	"4"	"1"	"1"	"2"	"1"	"3"	"2"	"4"	"1"	"3"	"4"	"3"	"2"	"2"	"1"	"3"	"4"	"2"	"3"	"1"	"2"	"4"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"375"	"240"	"225"	"180"	"180"		"1.20625"	17	73	52	89	4	12	6	30	10	12	8	95	88			22	18	33	19	50	3	384		2022-05-05 10:46:30	T	F	16	16	2	1	1.57	36
382			"base"	"interview"	2022-05-05 10:39:45	126	1	247	2	1	3	4264	1	8994	3	4183	2	6356	4	1607	3	2493	1	2694	2	5958	4	6131	1	2944	2	3588	3	3389	4	1438	1	2425	2	1100	4	1084	3	988	2	1019	1	1457	2	1192	4	2400	3	1570	2	2494	2	1562	1	1103	4	1440	3	1147	3	2245	2	1503	1	1413	3	1165	2	1223	3	825	2	889	3	1241	2	1145	3	823	2	982	3	1576	3	11321																																																																																	2	6	2	66	1	T	6	9	9	1	"Study was weird "	"607c1d635d5767489a9623eb"	"62568ea59b5810abee6bd150"	"62738d3540f56522108207c9"	"1011001110001111111011101111010010111111"	"1000001001001001000010001100001001001001"	"0100111101010101101111101111011011111011"	"1011001000000010001100001001000001000110"	"3"	"1"	"3"	"2"	"4"	"3"	"1"	"2"	"4"	"1"	"2"	"3"	"4"	"1"	"2"	"4"	"3"	"2"	"1"	"2"	"4"	"3"	"2"	"2"	"1"	"4"	"3"	"3"	"2"	"1"	"3"	"2"	"3"	"2"	"3"	"2"	"3"	"2"	"3"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"285"	"165"	"315"	"255"	"180"		"1.13875"	43	4	78	9	3	34	26	205	21	31	51	158	156			32	63	16	47	90	22	750		2022-05-05 10:55:39	T	F	16	16	0	0	0.6	0
